timestamp,o2_remaining_1,o2_remaining_2,o2_remaining_3,o2_remaining_4,o2_remaining_5
2025-10-12 15:44:51,85.5,46.2,12.8,92.3,78.6
2025-10-12 15:44:51,85.5,46.2,12.8,92.3,78.6
2025-10-12 16:33:49,85,16,68,97,78
2025-10-12 16:33:49,85,16,68,97,78
2025-10-12 16:59:37,85,16,68,97,78
2025-10-12 16:59:37,85,16,68,97,78
2025-10-12 20:14:50,85,16,68,97,78
2025-10-12 20:14:50,85,16,68,97,78
2025-10-15 12:09:41,85,16,68,97,78
2025-10-15 12:09:41,85,16,68,97,78
2025-10-15 18:27:33,85,16,68,97,78
2025-10-15 18:27:33,85,16,68,97,78
2025-10-15 18:27:50,85,16,68,97,78
2025-10-15 18:27:50,85,16,68,97,78
2025-10-15 18:27:51,85,16,68,97,78
2025-10-15 18:27:51,85,16,68,97,78
2025-10-15 18:27:51,85,16,68,97,78
2025-10-15 18:27:51,85,16,68,97,78
2025-10-15 18:27:51,85,16,68,97,78
2025-10-15 18:27:51,85,16,68,97,78
2025-10-15 18:27:52,85,16,68,97,78
2025-10-15 18:27:52,85,16,68,97,78
2025-10-15 18:27:52,85,16,68,97,78
2025-10-15 18:27:52,85,16,68,97,78
2025-10-16 10:43:46,85,16,68,97,78
2025-10-16 10:43:46,85,16,68,97,78
2025-10-16 12:03:36,85,16,68,97,78
2025-10-16 12:03:36,85,16,68,97,78
2025-10-16 12:15:58,85,16,68,97,78
2025-10-16 12:15:58,85,16,68,97,78
2025-10-16 12:55:01,78,48,60,78,76
2025-10-16 13:28:30,83,44,54,87,52
2025-10-16 14:11:00,80,56,57,87,80
2025-10-16 15:28:07,80,48,51,97,86
2025-10-16 17:41:44,80,48,54,87,76
2025-10-16 18:49:01,80,58,60,97,86
2025-10-19 11:22:24,85,48,57,97,56
2025-10-19 12:22:16,80,50,57,78,86
2025-10-19 12:33:02,87,56,60,87,78
2025-10-19 13:53:36,90,48,60,89,78
2025-10-19 14:44:37,90,32,48,96,68
2025-10-19 15:05:52,85,48,54,86,76
2025-10-19 16:53:24,85,54.5,38,53,70
2025-10-19 17:07:26,80,38.5,53,54,46
2025-10-19 17:16:05,90,57,62,43,34
2025-10-19 18:05:40,85,62.5,50,76,60
